t,x=0.001,x=0.5,x=1
0.0,-65.0,-65.0,-65.0
0.1,-57.12533392778616,-64.80033571016044,-64.99314203124892
0.2,-53.766049495458105,-64.13315833533356,-64.94115906921648
0.30000000000000004,-51.22273697151877,-63.21750079711179,-64.77550415541985
0.4,-48.95755772785867,-62.205600375731656,-64.46633880165564
0.5,-46.667802230689915,-61.13168998832934,-64.02116220393906
0.6000000000000001,-44.07362714446418,-59.96920326064222,-63.456277522817935
0.7000000000000001,-40.8157700032819,-58.64914258349342,-62.77904311057596
0.8,-36.319580311542126,-57.04810868610044,-61.97887113489701
0.9,-29.547814641376,-54.940791312616376,-61.01786444902187
1.0,-18.64013965196585,-51.88288230822143,-59.81204875038354
1.1,-1.3108826292733813,-46.95803679352637,-58.187416677054316
1.2000000000000002,20.327605601802137,-38.44895328459012,-55.78168558266919
1.3,35.789691478726795,-24.23138919221742,-51.86751479269976
1.4000000000000001,41.06034098021406,-3.978175148363613,-45.11423765942545
1.5,40.69690168338085,17.604059511259535,-33.15363917748372
1.6,37.955284429146374,32.460840570982974,-11.876200953999973
1.7000000000000002,34.062749965262064,38.26140082462882,18.816303829408188
1.8,29.51745604604173,38.25692857753889,38.186286264567606
1.9000000000000001,24.595504506886897,35.596635493909126,41.397215536158086
2.0,19.486259351866405,31.78596943086468,39.83643148522352
2.1,14.326275620678961,27.35424468843064,36.857672757946496
2.2,9.211536756862891,22.541202394927815,33.05248323713718
2.3000000000000003,4.206019994051147,17.510953198181756,28.66682389683053
2.4000000000000004,-0.6511512247386808,12.388311330512463,23.890942206309962
2.5,-5.339515411060365,7.2651692855137275,18.882992197683404
2.6,-9.852172699210612,2.2047253044669133,13.76849014882516
2.7,-14.191882886478453,-2.7536466884890896,8.640805210725748
2.8000000000000003,-18.369421103144614,-7.589495931658932,3.5643881589942112
2.9000000000000004,-22.403319777896456,-12.297251742438174,-1.420549341814424
3.0,-26.322481071466463,-16.88387941662974,-6.293148446540627
3.1,-30.170030594466727,-21.369108671284806,-11.047790693965572
3.2,-34.00706568164327,-25.788909577792783,-15.691609669178632
3.3000000000000003,-37.913768452182495,-30.20224681487614,-20.244708175589793
3.4000000000000004,-41.9831239919989,-34.69962143428856,-24.745116364353947
3.5,-46.29700943115579,-39.408452785624014,-29.257628533814547
3.6,-50.86826341262066,-44.482043255212766,-33.891064773070575
3.7,-55.541709943210655,-50.041649392835076,-38.81605508582361
3.8000000000000003,-59.91776501987956,-56.03064293990992,-44.276051649232066
3.9000000000000004,-63.47355503830757,-62.02006166318202,-50.53643330630368
4.0,-65.90915042059531,-67.24115586614111,-57.63869631343037
4.1000000000000005,-67.32950709147137,-71.06812667530949,-64.8593165706362
